,title,abstract,publication_date,doi,authors,source,url,search_string,database
1970,Synthesis and Conclusions,"This chapter provides an overview of the role of tropical forests in the international efforts to negotiate a new global climate treaty. Under the existing treaty, the Kyoto Protocol and its “flexible mechanisms” – particularly the Clean Development Mechanism (CDM) – have succeeded in building a billion dollar market for emission reduction projects in developing countries. Since the decision to include efforts to reduce emissions from tropical deforestation and forest degradation (REDD) in the 2007 Bali Action Plan, considerable attention has focused on designing a REDD and REDD+ program for inclusion in the next global climate agreement. The positions taken by different countries on REDD are driven by their circumstances – from those with large areas of standing forest to those with few remaining forests, from those facing rapid rates of deforestation to those engaged in reforestation. The overarching issues to be decided in developing the framework of a REDD mechanism include: the scope of the forestry activities to be covered; the scale of accounting for forestry activities and the baseline for measuring reference emissions levels; the type of financing to be provided for REDD activities; how to address fundamental issues of capacity and governance; and the consideration of co-benefits. There is some convergence around the scope of a REDD mechanism, the need to ultimately undertake activities at a national scale, the likelihood that financing will be both fund and market based, and the potential to implement REDD in phases. However, many contentious issues remain, including how to set baselines and accounting rules for REDD/REDD+ and how to incorporate governance concerns.",2012-01-01,10.1007/978-94-007-2232-3_18,"['Tyrrell, Mary L.', 'Ashton, Mark S.', 'Spalding, Deborah', 'Gentry, Bradford']",Managing Forest Carbon in a Changing Climate,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-2232-3_18,"(""agr*"") AND (""carbon offset credit"")",springer
1971,The Economic Drivers of Forest Land Use and the Role of Markets in the United States,"While forests in the U.S. have been both a net source and sink for CO_2 at different times throughout history, today they are a weak net carbon sink, largely as a result of changes in land use patterns over time. The capacity of forests to continue to serve as a carbon sink makes them potentially valuable as mitigation tools to offset the damaging effects of greenhouse gas emissions. However, policymakers must recognize that urbanization and development in the U.S. will continually pressure forests, leading to reduced forest cover and fragmented landscapes. From a purely economic standpoint, development is often the highest and best use of land, particularly if financial returns are the primary driver in land use decision-making. Finding the right balance between competing land uses has become an area of focus for economists and policymakers. As policymakers promote carbon strategies for U.S. forests, they should consider what is generally accepted in terms of the economic drivers of land use, and what is less well understood, as outlined below:",2012-01-01,10.1007/978-94-007-2232-3_15,"['Henke, Lisa', 'O’Brady, Caitlin', 'Spalding, Deborah', 'Tyrrell, Mary L.']",Managing Forest Carbon in a Changing Climate,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-2232-3_15,"(""agr*"") AND (""carbon offset credit"")",springer
1972,Global Consequences of the Bioenergy Greenhouse Gas Accounting Error,"Like the global financial crisis, which resulted in part from misguided accounting of mortgages, global policies to expand transportation biofuels and bioelectricity reflect an accounting error. Although the carbon accounting in these policies assumes that plant growth offsets all carbon released by burning biofuels, only “additional” plant growth can provide an offset. Because they double count biomass and land already used by people or sequestering carbon, many policy proposals aim for bioenergy to supply 20% or more of the world’s energy by 2050. That would require almost doubling the present global harvest of plants for all uses, which would likely lead to extensive deforestation and increase greenhouse gases. Fixing the accounting would focus policies on the more limited potential for truly low carbon biofuels.",2012-01-01,10.1007/978-1-4471-2717-8_36,"['Searchinger, Tim']","Energy, Transport, & the Environment",http://link.springer.com/openurl/pdf?id=doi:10.1007/978-1-4471-2717-8_36,"(""agr*"") AND (""carbon offset credit"")",springer
1973,Managing Carbon Sequestration and Storage in Temperate and Boreal Forests,"If carbon stocks and fluxes in temperate and boreal forests are to be included among efforts to mitigate global climate change, forest managers and policy makers must understand how management affects the carbon budgets in these systems. This chapter examines the effects of management of carbon sequestration, storage, and flux in temperate and boreal forests. Particular silvicultural points considered are drained wetlands, thinning, extending rotation lengths, and fertilization. Management considerations discussed included leakage, additionality, defining baselines and emissions from management operations.",2012-01-01,10.1007/978-94-007-2232-3_10,"['Carroll, Matthew', 'Milakovsky, Brian', 'Finkral, Alex', 'Evans, Alexander', 'Ashton, Mark S.']",Managing Forest Carbon in a Changing Climate,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-2232-3_10,"(""agr*"") AND (""carbon offset credit"")",springer
1974,Adaptation and Mitigation,"In the ten years since the first National Assessment of the Potential Consequences of Climate Variability and Change , the science and policy landscape for adaptation has evolved significantly. Adaptation is emerging as an essential strategy for managing climate risk and a broad range of adaptation initiatives are being pursued across a range of geopolitical scales. This interest in adaptation has emerged from an increased awareness that climate impacts are unavoidable (Wetherland et al., 2001); a growing availability of knowledge, data, and tools for the assessment of climate risk; and the interest of government agencies, businesses, and communities in increasing their resilience to both current climate variability as well as future climate change. However, adaptation strategies are not generally mainstreamed into the policy apparatus of governments or the development plans of the private sector; in other words, adaptation strategies supplement existing planning efforts but often involve an effort on their own rather than being integrated into existing management and policy regimes. Also, although adaptation planning has an increasingly rich portfolio of case studies contributing to shared learning (Gregg et al., 2011), the implementation of adaptation plans has proceeded at a much slower pace.",2012-01-01,10.5822/978-1-61091-460-4_5,"['Hansen, Lara', 'Beavers, Rebecca', 'Benoit, Jeff', 'Bowen, Diana', 'Cohen, Ellie', 'Craghan, Michael', 'Emmett-Mattox, Steve', 'Ferdana, Zach', 'Fletcher, Kristen', 'Gill, Stephen', 'Grannis, Jessica', 'Gregg, Rachel M.', 'Hoffman, Jennie', 'Holland, Brian', 'Johnson, Zoe', 'Preston, Benjamin L.', 'Marcy, Doug', 'Pahl, James', 'Raynie, Richard', 'Rozum, John']","Coastal Impacts, Adaptation, and Vulnerabilities",http://link.springer.com/openurl/pdf?id=doi:10.5822/978-1-61091-460-4_5,"(""agr*"") AND (""carbon offset credit"")",springer
1975,Estimating carbon supply curves from afforestation of agricultural land in the Northeastern U.S.,"The Regional Greenhouse Gas Initiative for the northeastern states of the U.S. allows for terrestrial carbon (C) sequestration offsets generated by afforestation activities only. This paper estimates the maximum potential quantity and associated costs of increasing the storage of carbon by afforestation of existing agricultural land in the 11 states of the Northeast United States. The focus of the work was to describe location, the quantity, and at what cost it would be economically attractive to shift agricultural production to afforestation to increase carbon storage in the region. Widely available data sets were used to (1) identify spatially-explicit areas for lower costs carbon offsets and (2) estimate carbon supply curves related to afforestation of agricultural land over three time periods (10, 20, and 40 years). Carbon accumulation and total carbon offset project costs were estimated at a county scale and combined to identify expected costs per ton of carbon dioxide equivalents (CO_2e). Large variation in estimated costs per ton of CO_2e are driven by varying carbon accumulation potentials and opportunity costs of taking land out of agricultural production, as well as the duration of the project activity. Results show that the lowest cost carbon offset projects will be in certain counties of Maine, Vermont, and New York. Pasture land, with lower opportunity costs, generally presents the opportunity for lower cost carbon offset projects relative to cropland. This analysis estimates that afforestation of pasture land in the northeast will not become economically attractive until the price rises above $10 per metric tonne (MT) CO_2e and that up to 583 million MT could be economically sequestered if the price were to rise to $50 per MT CO_2e, based on a 40-year project life. With regard to cropland in the northeast, afforestation does not become economically advantageous for land owners until the price rises above $40 per MT CO_2e. It is estimated that up to 487,000 MT could be sequestered from cropland if the price were to rise to $50 per MT CO_2e, based on a 40-year project life.",2011-12-01,10.1007/s11027-011-9303-0,"['Winsten, Jonathan', 'Walker, Sarah', 'Brown, Sandra', 'Grimland, Sean']",Mitigation and Adaptation Strategies for Global Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11027-011-9303-0,"(""agr*"") AND (""carbon offset credit"")",springer
1976,Reconsidering Copenhagen,"The voluntary emission reductions pledged under the Copenhagen Accord are almost certainly insufficient to limit global warming to 2 °C. However, using the Copenhagen Green Climate Fund for mitigation efforts could achieve the reductions needed to fill the gap.",2011-09-01,10.1038/nclimate1201,"['Marschinski, Robert', 'Jakob, Michael']",Nature Climate Change,https://www.nature.com/articles/nclimate1201.pdf,"(""agr*"") AND (""carbon offset credit"")",springer
1977,The case for adaptation funding,"Adaptation is still mitigation's poor cousin, in political and economic terms. However, efforts to better define adaptation — and the areas that would benefit most from climate aid — may help in achieving parity, finds Sonja van Renssen .",2011-04-01,10.1038/nclimate1051,"['van Renssen, Sonja']",Nature Climate Change,https://www.nature.com/articles/nclimate1051.pdf,"(""agr*"") AND (""carbon offset credit"")",springer
1978,Seven days: 21–27 January 2011,The week in science.,2011-01-27,10.1038/469448a,[],Nature,https://www.nature.com/articles/469448a.pdf,"(""agr*"") AND (""carbon offset credit"")",springer
1979,A Small-Scale Forestry Perspective on Constraints to Including REDD in International Carbon Markets,"In this article the authors contend that the constraints to including reduced emissions from avoided tropical forest deforestation and degradation in international carbon markets stem from problems associated with: (1) correctly measuring emissions savings from avoided tropical forest deforestation and degradation; (2) the permanence and ‘leakage’ of tropical forest conservation regimes; (3) ensuring economic incentives for the avoidance of tropical forest deforestation and degradation are sufficiently effective; (4) the exclusion of reduced emissions from avoided tropical forest deforestation and degradation from critical international climate change policy agreements; and (5) the behaviour of investors in carbon markets. Case analysis of the ‘Emissions Biodiversity Exchange Project for the 21st Century’ (EBEX21) program of Landcare Research New Zealand is used to examine how a government-supported market-based forest conservation initiative can be used to address these constraints, particularly in the context of small-scale forestry conservation.",2010-12-01,10.1007/s11842-010-9141-z,"['Dargusch, Paul', 'Lawrence, K.', 'Herbohn, J.', 'Medrilzam']",Small-scale Forestry,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11842-010-9141-z,"(""agr*"") AND (""carbon offset credit"")",springer
1980,Carbon Cautious: Israel’s Afforestation Experience and Approach to Sequestration,"During the past 60 years, afforestation has transformed Israel’s landscape, with forests planted or planned on 10% of the country’s land, much of it with less than 300 mm of annual precipitation. After early efforts to establish a successful commercial timber industry failed, recreation and ecosystem services came to dominate forestry policy objectives. Given Israel’s status as a ‘developing country’ under the Kyoto Protocol, forests’ economic potential through carbon sequestration has been explored, but has not yet proven to be compelling. Several considerations cooled initial enthusiasm for seeking international carbon credits through afforestation. These include administrative obstacles associated with international accreditation, limited potential economic profitability, and ethical considerations . Rather, a voluntary offsetting program was adopted, allowing donors to plant trees in Israel, that balance individual carbon emissions. Afforestation in drylands exhibit meaningful potential to counteract chronic carbon loss due to land degradation. As trees planted in Israel’s semi-arid regions exhibit surprisingly high carbon sequestration properties that are comparable to forests in temperate Europe, the potential for offsetting may become a growing factor in local forestry policy once Israel begins to regulate CO_2 emissions.",2010-12-01,10.1007/s11842-010-9125-z,"['Tal, Alon', 'Gordon, Jessica']",Small-scale Forestry,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11842-010-9125-z,"(""agr*"") AND (""carbon offset credit"")",springer
1981,Ocean fertilization: time to move on,"Adding iron to the ocean is not an effective way to fight climate change, and we don't need further research to establish that, say Aaron Strong, Sallie Chisholm, Charles Miller and John Cullen.",2009-09-17,10.1038/461347a,"['Strong, Aaron', 'Chisholm, Sallie', 'Miller, Charles', 'Cullen, John']",Nature,https://www.nature.com/articles/461347a.pdf,"(""agr*"") AND (""carbon offset credit"")",springer
1982,"Landowner Willingness to Engage in Long-Term Timber Leases in West Virginia, USA","As global competition increases for wood-based products, the need for more efficient supply chains becomes increasingly important. In the forest products sector, these supply chains involve individuals and firms ranging from private forestland owners with standing timber to factories producing final finished products. Long-term timber leases are one mechanism that can be used to develop access to timber supplies for companies unable or unwilling to purchase land outright for growing timber. To investigate private forest owner opinions and attitudes regarding long-term timber leases, we conducted a survey of landowners from Wetzel county, West Virginia. No long-term leases were reported by respondents, but 24% claimed they would enter a lease under certain conditions. The most frequently listed concern related to long-term timber leases was for the “loss of control”. Results of this survey are discussed in the light of forest management efforts that might be used to improve the social, financial, and environmental benefits for private forest owners.",2008-06-01,10.1007/s11842-008-9044-4,"['McGill, David W.', 'Grushecky, Shawn T.', 'Moss, Stuart', 'Pierskalla, Chad', 'Schuler, Al']",Small-scale Forestry,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11842-008-9044-4,"(""agr*"") AND (""carbon offset credit"")",springer
1983,Creating Carbon Offsets in Agriculture through No-Till Cultivation: A Meta-Analysis of Costs and Carbon Benefits,"Carbon terrestrial sinks are often seen as a low-cost alternative to fuel switching and reduced fossil fuel use for lowering atmospheric CO_2. To determine whether this is true for agriculture, one meta-regression analysis (52 studies, 536 observations) examines the costs of switching from conventional tillage to no-till, while another (51 studies, 374 observations) compares carbon accumulation under the two practices. Costs per ton of carbon uptake are determined by combining the two results. The viability of agricultural carbon sinks is found to vary by region and crop, with no-till representing a low-cost option in some regions (costs of less than $10 per tC), but a high-cost option in others (costs of 100–$400 per tC). A particularly important finding is that no-till cultivation may store no carbon at all if measurements are taken at sufficient depth. In some circumstances no-till cultivation may yield a ‘triple dividend” of carbon storage, increased returns and reduced soil erosion, but in many others creating carbon offset credits in agricultural soils is not cost effective because reduced tillage practices store little or no carbon.",2005-01-01,10.1007/s10584-005-6010-4,"['Manley, James', 'van Kooten, G. Cornelis', 'Moeltner, Klaus', 'Johnson, Dale W.']",Climatic Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10584-005-6010-4,"(""agr*"") AND (""carbon offset credit"")",springer
1984,"
Trade-Based Carbon Sequestration Accounting
","This article describes and illustrates an accounting method to assess and compare “early” carbon sequestration investments and trades on the basis of the number of standardized CO_2 emission offset credits they will provide. The “gold standard” for such credits is assumed to be a relatively riskless credit based on a CO_2 emission reduction that provides offsets against CO_2 emissions on a one-for-one basis. The number of credits associated with carbon sequestration needs to account for time, risk, durability, permanence, additionality, and other factors that future trade regulators will most certainly use to assign “official” credits to sequestration projects. The method that is presented here uses established principles of natural resource accounting and conventional rules of asset valuation to “score” projects. A review of 20 “early” voluntary United States based CO_2 offset trades that involve carbon sequestration reveals that the assumptions that buyers, sellers, brokers, and traders are using to characterize the economic potential of their investments and trades vary enormously. The article develops a “universal carbon sequestration credit scoring equation” and uses two of these trades to illustrate the sensitivity of trade outcomes to various assumptions about how future trade auditors are likely to “score” carbon sequestration projects in terms of their “equivalency” with CO_2 emission reductions. The article emphasizes the importance of using a standard credit scoring method that accounts for time and risk to assess and compare even unofficial prototype carbon sequestration trades. The scoring method illustrated in this article is a tool that can protect the integrity of carbon sequestration credit trading and can assist buyers and sellers in evaluating the real economic potential of prospective trades.",2004-08-01,10.1007/s00267-003-9112-7,"['King, Dennis M.']",Environmental Management,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00267-003-9112-7,"(""agr*"") AND (""carbon offset credit"")",springer
1985,"Land-Use Change, Carbon Sequestration and Poverty Alleviation","In this article, we seek to identify where the greatest potential for synergies between carbon sequestration and poverty alleviation lie and ways they can be enhanced. We assess the amount and eligibility criteria of sequestration payment sources to developing countries. Many land-use changes accessible to low-income land users are potentially competitive in a market where payments are likely to range between between $11 to $15 per carbon ton sequestered. We present a conceptual framework of land-use decision-making to assess the potential for sequestration adoption among the poor. The determinants of adoption vary according to the impact of adoption on the returns to productive factors in the absence of any payment for sequestration. Where sequestration leads to a decrease in returns, the key determinant is the return to sequestration and labor, which are driven by the potential sequestration supply per unit land area and labor-use requirements. When sequestration adoption leads to an increase in returns, barriers to land-use change are present, which is frequently the case for the poor. Adoption is determined by the capacity of sequestration payments to overcome constraints. Barrier removal may involve designing payments to overcome risk or investment constraints, or wider institutional reform. Sequestration values may be insufficient to cover costs of institutional reform, requiring incorporation into wider development programs. A survey of results from empirical studies lend support to the analysis. We conclude with an assessment of transaction cost impacts on sequestration adoption among the poor, and how these can be addressed.",2004-07-01,10.1007/s00267-003-9146-x,"['Lipper, Leslie', 'Cavatassi, Romina']",Environmental Management,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00267-003-9146-x,"(""agr*"") AND (""carbon offset credit"")",springer
1986,A Comparative Assessment of Climate Policies of Top Emitters: Towards Strengthening Climate Diplomacy and Action,"Top emitters of the world account for nearly three-quarters of global emissions, yet they are unwilling to do substantial to meaningfully mitigate climate change risks. In the current climate policy landscape, the prospects for a rational climate policy are exceedingly vague. Several negotiations, agreements and policies have failed consistently for the last several decades. This chapter evaluates the climate policies of top emitting countries by using four broad criteria, namely, environmental effectiveness, economic efficiency, equity and political feasibility. The chapter first delineates the rationale and general evaluative framework of the analysis and then investigates top emitters’ climate policies according to the four perspectives indicated. On the basis of the analysis, top emitters are clustered according to their performances in the determinants of climate policy into three main actors—Laggards, Average and Pushers. The chapter shows that political feasibility is the weakest component in top emitters’ current climate policies, followed by equity concerns, whilst environmental effectiveness appears to be the most successful constituent and much progress is still required in the domain of economic efficiency. Finally, the chapter points out some common threads in, and emerging issues from, top emitters’ climate policies. The chapter concludes that the politics of climate change, energy policy and the environmental justice might be reoriented in ways that could result in more robust and sustainable political consensus for action.",2018-01-01,10.1007/978-3-319-79123-4_4,"['Grasso, Marco', 'Dutta, Venkatesh']",Revisiting Globalization,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-79123-4_4,"(""agr*"") AND (""emissions carbon credit"")",springer
1987,The Climate Change Conundrum,"The year 2015 was the hottest in recorded human history with 2016 set to surpass that. Record use of fossil fuels by all countries in aggregate for their economic activity has predicated a rise in earth’s CO_2 emissions. The science is there, though a political fringe of climate change deniers refuses to see the flawed model of over-reliance on fossil fuels. The only way to effectively deal with climate change is in having engaged and knowledgeable citizens take part in stewardship of these non-renewable forms of energy under their feet. HRD can do this, and create better industry that will make fossil fuels more efficient and less wasteful. Without a change in the use and understanding of fossil fuels, the small planet we all have to share will risk a future of an altered environment that will ultimately be destructive to all humans and their lifestyles.",2017-01-01,10.1057/978-1-137-57082-6_4,"['Hickey, William']",Energy and Human Resource Development in Developing Countries,http://link.springer.com/openurl/pdf?id=doi:10.1057/978-1-137-57082-6_4,"(""agr*"") AND (""emissions carbon credit"")",springer
1988,"Global Ecology, Social Nature, and Governance","The sheer scale of human changes to the global biosphere now requires that discussions of governance move beyond traditional notions of environmental protection, parks, pollution, and population. Globalisation isn’t just a matter of economic, political, and cultural boundary crossings, but now has to be understood as a matter of material transformation. The environment is no longer ‘out there’ as the given context for humanity; globalisation has changed that both conceptually and in terms of how governance now needs to operate to shape the future conditions for human life in an interconnected and rapidly changing biosphere. Globalisation has, among other things, substantially rearranged the species mix in most of the fertile parts of the terrestrial biosphere, dramatically changed ocean ecosystems through industrial scale fishing and is now setting in motion disruptive climate changes too. While sustainability and resilience have become the new terms for conceptualising environmental governance, the debates surrounding them have, as yet, not really begun to grapple with the big questions of who should decide what the immensely productive industrial systems of the global economy should actually produce, and how ecosystems are to be reconstructed to provide a more stable backdrop for the new forms of urban human life that globalisation is constructing.",2017-01-01,10.1057/978-1-349-95145-1_6,"['Dalby, Simon']",Global Insecurity,http://link.springer.com/openurl/pdf?id=doi:10.1057/978-1-349-95145-1_6,"(""agr*"") AND (""emissions carbon credit"")",springer
1989,Opportunities and challenges for mangrove carbon sequestration in the Mekong River Delta in Vietnam,"Increasing value is attributed to mangroves due to their considerable capacity to sequester carbon, known as ‘blue carbon’. Assessments of opportunities and challenges associated with estimating the significance of carbon sequestered by mangroves need to consider a range of disciplinary perspectives, including the bio-physical science mangroves, social and economic issues of land use, local and international law, and the role of public and private finance. We undertook an interdisciplinary review based on available literature and fieldwork focused on parts of the Mekong River Delta (MRD). Preliminary estimates indicate mangrove biomass may be 70–150 t ha^−1, but considerably larger storage of carbon occurs in sediments beneath mangroves. These natural stores of carbon are compromised when mangroves are removed to accommodate anthropogenic activities. Mangroves are an important resource in the MRD that supplies multiple goods and services, and conservation or re-establishment of mangroves provides many benefits. International law and within-country environmental frameworks offer increasing scope to recognize the role that mangrove forests play through carbon sequestration, in order that these might lead to funding opportunities, both in public and private sectors. Such schemes need to have positive rather than negative impacts on the livelihoods of the many people living within and adjacent to these wetlands. Nevertheless, many challenges remain and it will require further targeted and coordinated scientific research, development of economic and social incentives to protect and restore mangroves, supportive law and policy mechanisms at global and national levels, and establishment of long-term financing for such endeavours.",2016-07-01,10.1007/s11625-016-0359-3,"['Warner, Robin', 'Kaidonis, Mary', 'Dun, Olivia', 'Rogers, Kerrylee', 'Shi, Yubing', 'Nguyen, Thang T. X.', 'Woodroffe, Colin D.']",Sustainability Science,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11625-016-0359-3,"(""agr*"") AND (""emissions carbon credit"")",springer
1990,Reduction targets and abatement costs of developing countries resulting from global and developed countries’ reduction targets by 2050,"The European Union (EU) has advocated an emission reduction target for developed countries of 80% to 95% below the 1990 level by 2050, and a global reduction target of 50%. Developing countries have resisted the inclusion of these targets in both the UN Framework Convention on Climate Change Copenhagen Accord and Cancún Agreements. This paper analyses what these targets would imply for emission targets, abatement costs and energy consumption of developing countries, taking into account the conditional emission reduction pledges for 2020. An 80% reduction target for developed countries would imply more stringent per capita emission targets for developing countries than developed countries by 2050. Moreover, abatement costs of developing countries would be higher than those of developed countries. An 85% to 90% reduction target for developed countries would result in similar per capita emission targets and abatement costs for developed and developing countries by 2050. Total reduction targets for developing countries would range from 30% to 40% below 2005 levels by 2050 and from 30% to 35% above 2005 levels by 2030. The 2030 target for China would be 40% to 45% above 2005 levels, compared to a target for the EU of 45% to 50% below 1990 and for the United States of America (USA) 30% to 35% below 1990. Emission target trajectories for Brazil, South Africa and China would peak before 2025 and for India by around 2025. From the analysis, we may conclude that from the viewpoint of developing countries either developed countries increase their target above 85%, and/or make substantial side-payments.",2013-04-01,10.1007/s11027-012-9371-9,"['Elzen, Michel G. J.', 'Beltran, Angelica Mendoza', 'Hof, Andries F.', 'Ruijven, Bas', 'Vliet, Jasper']",Mitigation and Adaptation Strategies for Global Change,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11027-012-9371-9,"(""agr*"") AND (""emissions carbon credit"")",springer
1991,Solar Distillation,"“Solar distillation” is a technology for producing potable water from brackish and underground water of low-quality at low cost. It can reduce water-scarcity problems together with other water purification technologies. Solar distillation is analogous to natural hydrological cycle. It uses an apparatus called a solar still in which water is evaporated using solar energy, a form of renewable energy, and collected as distillate after condensation of the vapor. It effectively produces distilled water after removal of impurities. The major advantage of this is the use of solar energy instead of electrical energy generated from conventional fuels. This helps in producing potable water without degrading our environment. Over time, researchers have studied several designs of solar stills to evaluate its performance for different climatic, operational, and design parameters. In this chapter, many aspects of this technology are being covered. Among those, the working principle explains the production of distilled water through evaporation and condensation process inside the solar still, including its advantages and drawbacks. The evolution of the solar still is discussed under the historical background section and classified as passive or active solar stills. Various heat gains and losses and a methodology to develop a thermal model to predict the solar still performance are presented. Thereafter, the effects of various parameters, economic, energy-exergy analysis including carbon credit, and technology transfer with challenges in adoption are given. In conclusion, the probable extensive use of this technology to solve water problems on a large scale all over the world is presented.",2011-01-01,10.1007/978-94-007-1104-4_6,"['Dev, Rahul', 'Tiwari, Gopal Nath']",Drinking Water Treatment,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-1104-4_6,"(""agr*"") AND (""emissions carbon credit"")",springer
1992,Making carbon sequestration a paying proposition,"Atmospheric carbon dioxide (CO_2) has increased from a preindustrial concentration of about 280 ppm to about 367 ppm at present. The increase has closely followed the increase in CO_2 emissions from the use of fossil fuels. Global warming caused by increasing amounts of greenhouse gases in the atmosphere is the major environmental challenge for the 21st century. Reducing worldwide emissions of CO_2 requires multiple mitigation pathways, including reductions in energy consumption, more efficient use of available energy, the application of renewable energy sources, and sequestration. Sequestration is a major tool for managing carbon emissions. In a majority of cases CO_2 is viewed as waste to be disposed; however, with advanced technology, carbon sequestration can become a value-added proposition. There are a number of potential opportunities that render sequestration economically viable. In this study, we review these most economically promising opportunities and pathways of carbon sequestration, including reforestation, best agricultural production, housing and furniture, enhanced oil recovery, coalbed methane (CBM), and CO_2 hydrates. Many of these terrestrial and geological sequestration opportunities are expected to provide a direct economic benefit over that obtained by merely reducing the atmospheric CO_2 loading. Sequestration opportunities in 11 states of the Southeast and South Central United States are discussed. Among the most promising methods for the region include reforestation and CBM. The annual forest carbon sink in this region is estimated to be 76 Tg C/year, which would amount to an expenditure of $11.1–13.9 billion/year. Best management practices could enhance carbon sequestration by 53.9 Tg C/year, accounting for 9.3% of current total annual regional greenhouse gas emission in the next 20 years. Annual carbon storage in housing, furniture, and other wood products in 1998 was estimated to be 13.9 Tg C in the region. Other sequestration options, including the direct injection of CO_2 in deep saline aquifers, mineralization, and biomineralization, are not expected to lead to direct economic gain. More detailed studies are needed for assessing the ultimate changes to the environment and the associated indirect cost savings for carbon sequestration.",2007-03-01,10.1007/s00114-006-0170-6,"['Han, Fengxiang X.', 'Lindner, Jeff S.', 'Wang, Chuji']",Naturwissenschaften,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00114-006-0170-6,"(""agr*"") AND (""emissions carbon credit"")",springer
1993,Price Discovery and Trading After Hours on the ECX,"This chapter investigates the impact of after-hours trading (AHT) on the magnitude and timing of price discovery on the world’s largest carbon trading platform, the ECX. Low volume trading in carbon financial instruments (CFI) can lead to disproportionately high levels of price discovery; however, the generated pricing has low-efficiency levels. This is associated with high levels of informed trades coupled with low levels of liquidity trades. Results obtained show evidence of higher trading volume per minute and higher price efficiency for after-hours when compared with regular trading hours (RTH). As a result of a higher proportion of informed trades, adverse selection costs for trades during the after-hours are significantly larger than those for trades during the regular trading day.",2018-01-01,10.1007/978-3-319-72847-6_3,"['Ibikunle, Gbenga', 'Gregoriou, Andros']",Carbon Markets,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-72847-6_3,"(""agr*"") AND (""carbon permit market"")",springer
1994,Border adjustments under unilateral carbon pricing: the case of Australian carbon tax,"In the absence of a global agreement to reduce emissions, Australia adopted a carbon tax unilaterally to curb its own emissions. During the debate prior to passing the carbon tax legislation in 2011, there were concerns about the challenge that Australia’s emissions-intensive and trade-exposed (EITE) industries may face in terms of decreasing international competitiveness due to the unilateral nature of the tax and hence the potential for carbon leakage. In order to address these concerns, this paper explores possible border adjustment measures (BAMs) to complement the domestic carbon regulation in Australia using the multi-sector computable general equilibrium approach. We consider four border adjustments: border adjustments on imports based on domestic emissions; border adjustments on exports via a rebate for exports; a domestic production rebate; and full border adjustment on both exports and imports. We compare the numerical simulation results of these scenarios with a no border adjustments scenario from the standpoint of welfare, international competitiveness and carbon leakage. The key finding is that BAMs have a very small impact on the overall economy and on EITE sectors. In other words, the different BAMs have minimal impact on the outcomes of carbon pricing policy. This finding is consistent with studies for EU, USA, Canada and other countries. Hence, we conclude that the border adjustments are ineffective instruments to safeguard EITE industries in Australia.",2017-11-10,10.1186/s40008-017-0091-x,"['Siriwardana, Mahinda', 'Meng, Sam', 'McNeill, Judith']",Journal of Economic Structures,https://www.biomedcentral.com/openurl/pdf?id=doi:10.1186/s40008-017-0091-x,"(""agr*"") AND (""carbon permit market"")",springer
1995,North–South Trade and Heterogeneous Damages from Local and Global Pollution,"This paper examines how income-induced environmental policy differences and damage heterogeneity interact to determine the comparative advantage in a polluting activity. In a non-cooperative framework, North and South regulate two types of pollution, local pollution (e.g., air and water pollution) and global pollution (e.g., greenhouse gas emissions), each of which induces heterogeneous damages for consumers. I find that (1) North or South can have the comparative advantage in the dirty sector; (2) whatever the region with this comparative advantage, the worldwide level of global pollution can either increase or decrease with trade; (3) local and global emissions evolve symmetrically in each region with trade, even though pollution regulations may be asymmetric.",2016-10-01,10.1007/s10640-015-9902-4,"['Ollivier, Hélène']",Environmental and Resource Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10640-015-9902-4,"(""agr*"") AND (""carbon permit market"")",springer
